hex_id,point_id,P_ij
28,308738,0.005685521285065589
28,157869,0.012895005909778339
28,335761,0.024579400675702176
28,50004457,0.007696374097894123
28,114368,0.02040011221981686
28,214796,0.02129733860840405
28,50006439,0.021410617127162967
28,311711,0.024374649074708647
28,130288,0.008692965532438717
28,130288,0.008692965532438717
28,130288,0.008692965532438717
28,130288,0.008692965532438717
28,306686,0.03517639934011479
28,349561,0.010733085936344014
28,208111,0.011776269203951962
28,127434,0.03154819135050842
28,50006610,0.022436765021352115
28,215050,0.04519184630843174
28,313083,0.05498739231825432
28,50017787,0.048804705077635714
28,150043,0.004768976099597185
28,215158,0.01620956739580735
28,213607,0.029771849147298007
28,1069,0.011481694686390626
28,1070,0.027468008269979794
28,1071,0.02892241897772441
28,1079,0.02012157225235327
28,1082,0.034102338039691316
28,1084,0.02892241897772441
28,1085,0.027468008269979794
28,1091,0.019479909729655846
28,1092,0.018150077279132985
28,1093,0.02537328632407635
28,1094,0.017062619160127544
28,1095,0.004384600811498173
28,1096,0.036208053031882986
28,1100,0.02541125311758107
29,173134,0.008433149946514323
29,312276,0.010174480663368847
29,141127,0.01082624532202945
29,3852,0.016439405775038485
29,337942,0.009371683267170958
29,50007604,0.010627284671595799
29,139733,0.011455331405577808
29,315637,0.015669813749074956
29,140341,0.014472755942015702
29,50016337,0.014472755942015702
29,307384,0.014875419132260174
29,139581,0.012913984270013792
29,50004254,0.015867754128517292
29,126707,0.02392748527672282
29,212229,0.03539187802375684
29,322777,0.04612606230205186
29,213695,0.13393990443815004
29,50019696,0.013746653963319672
29,318390,0.014638854574879932
29,211591,0.034571063744026784
29,213621,0.10979874929301742
29,50005710,0.16704768665154374
29,319606,0.020386854948916268
29,316252,0.020320139703072993
29,140352,0.015816784239884436
29,320976,0.03637397215071497
29,312535,0.007164774277499114
29,212518,0.006943042789438052
29,309432,0.007963446801217536
29,50017411,0.006938600853079294
29,50016599,0.019420844341984704
29,1086,0.1138831374115303
30,50015367,0.020127371670868612
30,162684,0.43458453014856996
30,310691,0.023038119483527006
30,309492,0.02840257530690518
30,320115,0.018852817234558446
30,160580,0.013586509181019142
30,213025,0.037635561927484705
30,322809,0.012433064872533534
30,311268,0.01650992782215881
30,1032,0.14690557966992385
30,1033,0.11806187821514667
30,1034,0.129862064467304
31,50000027,0.07389346378677145
31,308919,0.05581699517863546
31,5724,0.10781686264639281
31,139667,0.06869427102186774
31,336560,0.04136139663584988
31,130971,0.043256846628927766
31,211869,0.22061026968722522
31,314525,0.02977573387412344
31,318295,0.030769749609564814
31,318205,0.04372473143795538
31,50008906,0.05513982679494205
31,325165,0.019319149032551948
31,1020,0.056284798156135456
31,1021,0.15353590550905666
32,50003926,1.0
34,311605,0.008942712374678398
34,162181,0.009331530965829777
34,321461,0.09031442892680804
34,325824,0.08165699680325951
34,50010189,0.014234054566420696
34,6007,0.017140139142431163
34,327321,0.037786629735987134
34,314961,0.07680088506869466
34,162363,0.1643173539222958
34,314488,0.014775886648516747
34,150877,0.01580420202226388
34,307799,0.01337465161281743
34,50003893,0.011333987660364466
34,50004592,0.1107150709646892
34,50034184,0.15568873043485462
34,50007850,0.1382299894408388
34,1150,0.011299908686988573
34,1151,0.021040597246490954
34,1152,0.007212243775770216
35,50007505,0.03493739575147536
35,50022830,0.025084848655828374
35,308356,0.013179482548126814
35,169926,0.09040539086920144
35,322743,0.04160028700026997
35,165829,0.01864355352735501
35,50022556,0.02156314366805956
35,302715,0.013560199448608711
35,151474,0.009033985622129793
35,309713,0.008530127414108815
35,163299,0.008997509064558528
35,50017901,0.006773394000825734
35,141696,0.07710056075180824
35,150856,0.04858271781206289
35,306764,0.03511628101268246
35,50011829,0.0029839648451052358
35,50008202,0.0030276060683946337
35,145143,0.04858271781206289
35,311084,0.008753050550275223
35,311084,0.008753050550275223
35,311084,0.008753050550275223
35,311084,0.008753050550275223
35,214958,0.001703504520773225
35,314375,0.005450162141492563
35,50034108,0.014982034900127691
35,137023,0.008071081775015709
35,50017960,0.007118848950863502
35,1140,0.0017297632957304077
35,1141,0.002151176010017451
35,1142,0.0027394450041983488
35,1143,0.002799802827867402
35,1144,0.10730784431915576
35,1145,0.05074268289837461
35,1146,0.07151734473308392
35,1147,0.08174316638350286
35,1148,0.0593125812276438
35,1149,0.002026516843686317
35,1156,0.009784539519749882
35,1157,0.0035072501660416444
35,1158,0.0031272709519895277
35,1159,0.002708048645149437
35,1160,0.0033099187339576336
35,1161,0.002011359604936212
35,1162,0.002011359604936212
35,1163,0.011428928867940663
36,327069,0.02683337072441952
36,50007884,0.007576280798285456
36,101224,0.0065535858517444595
36,50000763,0.13293157385900017
36,215440,0.005192464635865935
36,114183,0.0044325266134152925
36,50016730,0.040097102594026976
36,50016730,0.040097102594026976
36,130439,0.004568644457188441
36,130439,0.004568644457188441
36,3090,0.004264499802585439
36,3090,0.004264499802585439
36,335637,0.004036683972895851
36,335637,0.004036683972895851
36,50002697,0.05075391473832181
36,110310,0.0032429349114001384
36,50022352,0.003280169255005829
36,218499,0.018167906806994767
36,50012770,0.08901975460350615
36,50022393,0.08343706855336898
36,50014197,0.06815609968862057
36,168833,0.09859409982682728
36,50007861,0.07066015680752398
36,50001931,0.0044724809429310276
36,215578,0.012220847110890562
36,50035925,0.019111901273154125
36,320015,0.041780975723794675
36,50016730,0.040097102594026976
36,50016730,0.040097102594026976
36,130439,0.004568644457188441
36,130439,0.004568644457188441
36,126997,0.01824858398185593
36,50009505,0.011831910711902932
36,3090,0.004264499802585439
36,3090,0.004264499802585439
